Ship Mode,First Class,,,Same Day,,,Second Class,,,Standard Class,,
42230,,,,89.32,,,,,,,,
42335,,,3.744,,,,,,,,,
42112,,,,,,,,,,,79.12,
42348,,,,,,,,82.92,,,,
42090,187.616,,,,,,,,,,,
42111,,,,,,,,,,12.84,,
42008,,,,,,,,,,,959.968,
42162,678.87,,,,,,,,,,,
42363,,,,,,,,,823.61,,,
42351,,,,,,,,,,299.07,,
42467,,,,,,,,,,,,1735.8505
42687,,,,,,,,,,239.92,,
42396,,,,,,,,,,3002.65,,
42706,34.65,,,,,,,,,,,
42490,,,,,,,,,,,,225.546
42699,,,,,,,,701.96,,,,
42602,,,,,,,,,,,,35.96
42663,,,,,,,,,,,30.336,
42617,,,,,,,,,,107.552,,
42662,,,,,,,,,,,,1633.188
42509,,,,195.64,,,,,,,,
42474,,,,,,,,,,,198.272,
42554,,,,,,,,,,311.96,,
42698,,,,,,,,,,,76.521,
42566,,1065.84,,,,,,,,,,
42446,,,,,,,,,,,,4.608
42483,,,,,,,,,,,,513.496
42517,,,,,,,,,,,,598.31
42637,,,,,,,,,,,,148.16
42543,37.608,,,,,,,,,,,
42426,,,,,,,,,,428.704,,
42613,,,,,,,229.544,,,,,
42714,,,,,,,,,,,14.76,
42541,,,,,,,,,,536.36,,
42711,,,,,,,,,,82.38,,
42530,,,,,,,,,,49.12,,
42634,,,,,,,,,,12.294,,
42704,,,,,,,,,71.976,,,
42656,348.56,,,,,,,,,,,
42707,,,,,,,,,,98.446,,
42557,,,,239.24,,,,,,,,
42567,,,,,,,,,,242.352,,
42624,,,,,,,,,,67.9,,
42687,,,,,,,2.064,,,,,
42678,,,,,,,,,,,,9.664
42733,,,,,,,1814.68,,,,,
42460,,,,,,,,,732.93,,,
42609,,2.896,,,,,,,,,,
42645,,,2437.672,,,,,,,,,
42727,,,,,,,,1152.87,,,,
42418,,,,,,,29.16,,,,,
42370,,,,,,,,,,71.096,,
42554,,,,,,,,,,24,,
42457,,,,,,,,,,,68.742,
42713,,,,,,,1827.51,,,,,
42678,,,,,8167.42,,,,,,,
42377,,,,,,,,,,2.808,,
