Ship Mode,Segment,Order Date,Sales
Standard Class,Home Office,42706,45.66
Standard Class,Home Office,42678,4.3
Standard Class,Home Office,42683,691.144
Standard Class,Home Office,42391,383.992
Standard Class,Home Office,42515,29.84
Standard Class,Home Office,42455,57.01
Standard Class,Home Office,42467,235.44
Standard Class,Home Office,41347,1139.92
Standard Class,Home Office,41527,9.64
Standard Class,Home Office,41300,944.61
Standard Class,Home Office,41550,67.76
Standard Class,Home Office,42077,334.2
Standard Class,Home Office,42274,431.976
Standard Class,Home Office,42110,895.06
Standard Class,Home Office,42056,471.078
Standard Class,Home Office,42140,612.14
Standard Class,Home Office,42270,13.28
Standard Class,Home Office,42467,1735.8505
Standard Class,Home Office,42490,225.546
Standard Class,Home Office,42602,35.96
Standard Class,Home Office,42662,1633.188
Standard Class,Home Office,42446,4.608
Standard Class,Home Office,42483,513.496
Standard Class,Home Office,42517,598.31
Standard Class,Home Office,42637,148.16
Standard Class,Home Office,42678,9.664
